host,cpu,memory,taskType,taskCreatedAt,taskScheduledAt,taskReceivedAt,taskStartedAt,taskFinishedAt
5,55.31,51.28,Low,2023-04-01 20:30:00,2023-04-01 20:30:02,2023-04-01 20:32:02,2023-04-01 20:32:03,2023-04-01 20:33:03
1,55.29,51.36,High,2023-04-01 20:40:00,2023-04-01 20:40:01,2023-04-01 20:44:01,2023-04-01 20:44:05,2023-04-01 20:46:05
2,55.27,51.4,High,2023-04-01 20:50:00,2023-04-01 20:50:01,2023-04-01 20:54:01,2023-04-01 20:54:05,2023-04-01 20:56:05
3,55.01,51.31,Low,2023-04-01 21:00:00,2023-04-01 21:00:02,2023-04-01 21:03:02,2023-04-01 21:03:06,2023-04-01 21:05:06
4,54.86,51.27,High,2023-04-01 21:10:00,2023-04-01 21:10:02,2023-04-01 21:13:02,2023-04-01 21:13:05,2023-04-01 21:15:05
5,55.35,51.4,Low,2023-04-01 21:20:00,2023-04-01 21:20:01,2023-04-01 21:24:01,2023-04-01 21:24:03,2023-04-01 21:25:03
1,55.38,51.15,High,2023-04-01 21:30:00,2023-04-01 21:30:01,2023-04-01 21:33:01,2023-04-01 21:33:04,2023-04-01 21:34:04
2,55.56,51.4,High,2023-04-01 21:40:00,2023-04-01 21:40:01,2023-04-01 21:44:01,2023-04-01 21:44:04,2023-04-01 21:45:04
3,55.18,51.35,Medium,2023-04-01 21:50:00,2023-04-01 21:50:02,2023-04-01 21:55:02,2023-04-01 21:55:04,2023-04-01 21:56:04
4,55.2,51.33,Low,2023-04-01 22:00:00,2023-04-01 22:00:02,2023-04-01 22:03:02,2023-04-01 22:03:05,2023-04-01 22:05:05
5,55.13,51.41,Low,2023-04-01 22:10:00,2023-04-01 22:10:01,2023-04-01 22:11:01,2023-04-01 22:11:03,2023-04-01 22:12:03
