host,cpu,memory,taskType,taskCreatedAt,taskScheduledAt,taskReceivedAt,taskStartedAt,taskFinishedAt
3,52.9,43.22,High,2023-04-01 19:00:00,2023-04-01 19:00:01,2023-04-01 19:00:01,2023-04-01 19:00:03,2023-04-01 19:01:03
1,52.62,43.21,Medium,2023-04-01 19:10:00,2023-04-01 19:10:01,2023-04-01 19:14:01,2023-04-01 19:14:05,2023-04-01 19:15:05
5,53.01,43.11,Medium,2023-04-01 19:20:00,2023-04-01 19:20:01,2023-04-01 19:24:01,2023-04-01 19:24:05,2023-04-01 19:26:05
4,52.78,43.05,High,2023-04-01 19:30:00,2023-04-01 19:30:01,2023-04-01 19:35:01,2023-04-01 19:35:02,2023-04-01 19:37:02
2,52.68,43.31,Medium,2023-04-01 19:40:00,2023-04-01 19:40:01,2023-04-01 19:41:01,2023-04-01 19:41:05,2023-04-01 19:42:05
1,52.7,43.46,High,2023-04-01 19:50:00,2023-04-01 19:50:02,2023-04-01 19:50:02,2023-04-01 19:50:05,2023-04-01 19:51:05
5,53.21,43.39,Low,2023-04-01 20:00:00,2023-04-01 20:00:02,2023-04-01 20:03:02,2023-04-01 20:03:05,2023-04-01 20:04:05
4,52.98,43.42,Medium,2023-04-01 20:10:00,2023-04-01 20:10:01,2023-04-01 20:13:01,2023-04-01 20:13:05,2023-04-01 20:15:05
2,52.77,43.17,Medium,2023-04-01 20:20:00,2023-04-01 20:20:02,2023-04-01 20:20:02,2023-04-01 20:20:04,2023-04-01 20:21:04
3,52.51,43.2,Low,2023-04-01 20:30:00,2023-04-01 20:30:01,2023-04-01 20:35:01,2023-04-01 20:35:03,2023-04-01 20:36:03
3,52.62,43.24,High,2023-04-01 20:40:00,2023-04-01 20:40:02,2023-04-01 20:44:02,2023-04-01 20:44:04,2023-04-01 20:45:04
1,52.92,43.17,Low,2023-04-01 20:50:00,2023-04-01 20:50:02,2023-04-01 20:55:02,2023-04-01 20:55:04,2023-04-01 20:57:04
5,52.64,43.27,Low,2023-04-01 21:00:00,2023-04-01 21:00:01,2023-04-01 21:05:01,2023-04-01 21:05:03,2023-04-01 21:07:03
4,52.88,43.2,Low,2023-04-01 21:10:00,2023-04-01 21:10:01,2023-04-01 21:13:01,2023-04-01 21:13:05,2023-04-01 21:14:05
2,52.89,43.23,High,2023-04-01 21:20:00,2023-04-01 21:20:01,2023-04-01 21:23:01,2023-04-01 21:23:03,2023-04-01 21:24:03
1,52.7,43.24,Medium,2023-04-01 21:30:00,2023-04-01 21:30:02,2023-04-01 21:31:02,2023-04-01 21:31:04,2023-04-01 21:33:04
5,52.58,43.08,Low,2023-04-01 21:40:00,2023-04-01 21:40:02,2023-04-01 21:41:02,2023-04-01 21:41:06,2023-04-01 21:42:06
4,52.95,43.12,High,2023-04-01 21:50:00,2023-04-01 21:50:02,2023-04-01 21:53:02,2023-04-01 21:53:04,2023-04-01 21:54:04
2,52.99,43.18,Low,2023-04-01 22:00:00,2023-04-01 22:00:01,2023-04-01 22:05:01,2023-04-01 22:05:03,2023-04-01 22:06:03
3,52.68,43.16,Medium,2023-04-01 22:10:00,2023-04-01 22:10:01,2023-04-01 22:14:01,2023-04-01 22:14:04,2023-04-01 22:16:04
